Asteroid ID,Asteroid Name,The Minimal estimated diameter (kilometers),Absolute_magnitude (H),Relative Velocity (km/h)
2137084,137084 (1998 XS16),1.3444819516,16.48,64873.2160143983
2252399,252399 (2001 TX44),0.3487827332,19.41,47425.552833141
3342645,(2006 SG7),0.0718712133,22.84,40346.826106311
3451020,(2009 EG3),0.1453968429,21.31,71098.0109047015
3606252,(2012 OO),0.1979497587,20.64,33991.7291708756
3740047,(2016 AM165),0.0305179233,24.7,21746.7219087179
3888755,(2019 UQ12),0.046190746,23.8,64516.5575776706
54016425,(2020 FW6),0.0603330078,23.22,46657.9212968621
54016634,(2020 HO2),0.0366906138,24.3,45466.0186505674
54217963,(2021 VA6),0.0045139316,28.85,31894.7763409622
54244779,(2022 CB1),0.014878357,26.26,62355.3826068403
54304629,(2022 SW),0.0249203981,25.14,44784.2590807882
54380190,(2023 QB10),0.1118291378,21.88,16732.0434664351
54383295,(2023 RE11),0.0225193047,25.36,34505.6659429336
54385248,(2023 SW1),0.0417402433,24.02,28243.2311570753
54385794,(2023 SY2),0.0154367182,26.18,35684.2487171859
54390661,(2023 TJ),0.024019003,25.22,83572.0667600648
54391043,(2023 TO2),0.013018321,26.55,43535.427013355
54397459,(2023 UC4),0.0279611466,24.89,40131.9353464456
54428637,(2024 DT1),0.0973991073,22.18,38643.2624168996
54429759,(2024 EK1),0.1092835959,21.93,57582.8122273495
54490134,(2024 TX9),0.0140784543,26.38,62761.6611957488
54507392,(2024 YB),0.0207278843,25.54,11450.6707227882
2105140,105140 (2000 NL10),1.8904055193,15.74,140926.7920826668
2405762,405762 (2005 YO180),0.2325706875,20.29,77196.7239248135
2488474,488474 (1999 HD1),0.229379698,20.32,62121.1321729156
3423321,(2008 PW4),0.0872077289,22.42,19601.0326250889
3761035,(2016 TB57),0.0160160338,26.1,47850.5104193084
3781908,(2017 SN17),0.0742258153,22.77,45046.1879319467
54054714,(2020 SV6),0.046190746,23.8,52427.7743783015
54055076,(2020 TE2),0.0149470324,26.25,61186.2638547492
54087416,(2020 VF),0.040230458,24.1,74455.5950844728
54316566,(2022 TS2),0.0325502986,24.56,103058.7083468615
54377847,(2023 QU2),0.1700415193,20.97,15709.4022120355
